name_ar,name_en,poems_served,poems_total,era_id,era_name,century_now,death_year,birth_year,active_year,century_new,date_confidence,source_note
ابن قرناص,Ibn Qarnass,1,3,3,متأخر,,1331,1258,,14,approx,"Hama, Mamluk era"
ابن مالك,Ibn Mālik,1,3,3,متأخر,,1274,1203,,13,exact,"Author of the Alfiyya, Damascus"
ابو الجوايز الواسطي,Abū al-Jawāyiz al-Wāsiṭī,1,3,3,متأخر,,1099,,,11,approx,"Wasit, Baghdad"
ابو العباس المرسي,Abu al-Abbas al-Mursi,1,3,3,متأخر,,1287,1219,,13,exact,"Shadhili Sufi, Alexandria"
ابو الهيثم المعري اخو ابي العلاء,Abū al-Haytham al-Maʿarrī Akhū Abī al-ʿAlāʾ,1,3,3,متأخر,,1050,,,11,approx,Brother of al-Ma'arri; floruit estimate
ابو سعيد الحجري,Abu Sa'id al-Hajari,1,3,3,متأخر,,,,1100,11,approx,No reliable dates; floruit estimate
ابو علي ابن فورجه,Abū ʿAlī Ibn Fūrja,1,3,3,متأخر,,1060,,,11,approx,Critic of al-Mutanabbi
احمد الكاشف,Ahmad al-Kashif,1,3,3,متأخر,,1948,1878,,20,exact,Egypt
الاخطل الصغير بشارة الخوري,al-Akhtal al-Saghir Bishara al-Khuri,1,3,3,متأخر,,1968,1885,,20,exact,Lebanon
الحسين بن علي بن ابي طالب,Al-Husayn ibn Ali ibn Abi Talib,1,3,3,متأخر,,680,626,,7,exact,Killed at Karbala
المطران جرمانوس,Al-Mutran Germanos,1,3,3,متأخر,,1897,1810,,19,approx,Germanos Farhat lineage; Maronite bishop-poet
الوتار,Al-Wattar,1,3,3,متأخر,,,,1900,19,approx,No reliable dates; floruit estimate
الوزير ابو حفص بن برد الاصغر,al-Wazir Abu Hafs bin Burd al-Asghar,1,3,3,متأخر,,1053,,,11,approx,Cordoba chancery
انس ابراهيم الدغيم,Anas Ibrāhīm al-Dughaym,1,3,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
ايمان المحمداوي,Iman al-Muhammadi,1,3,3,متأخر,,,,2010,21,approx,Contemporary Iraqi; floruit estimate
تركي المعيني,Turki al-Mu'ayni,1,3,3,متأخر,,,,2000,20,approx,Contemporary Saudi; floruit estimate
ثابت بن سنان الصابي,Thabit bin Sinan al-Sabi,1,3,3,متأخر,,976,,,10,exact,Sabian physician-historian of Baghdad
ثابت قطنة,Thabit Qutnah,1,3,3,متأخر,,728,,,8,approx,"Umayyad, Khurasan"
جعفر الحلي,Ja'far al-Hilli,1,3,3,متأخر,,1897,1861,,19,exact,Iraq
حبيش بن عبد الله الهمداني,Habish bin Abdullah al-Hamdani,1,3,3,متأخر,,,,900,9,approx,No reliable dates; floruit estimate
داود بن عيسى الايوبي,Dāwūd ibn ʿĪsā al-Ayyūbī,1,3,10,أيوبي,,1227,1178,,13,approx,Ayyubid prince of Damascus
ذو اللسانين النطنزي,Dhu al-Lisanayn al-Natanzi,1,3,3,متأخر,,1108,,,12,approx,"Bilingual Arabic-Persian poet, Isfahan"
رمضان عبد الحميد زيدان,Ramadan Abd al-Hamid Zaydan,1,3,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
زينب فواز,Zaynab Fawwāz,1,3,3,متأخر,,1914,1860,,20,exact,"Lebanon/Egypt, pioneer woman writer"
شعراء مجهولون,Shu'ara' Majhulun,1,3,3,متأخر,,,,,,,Anonymous corpus entry - see spot-check note; not datable
عبد الرحيم احمد الصغير(الماسخ),Abd al-Rahim Ahmad al-Saghir (al-Masikh),1,3,3,متأخر,,,,1900,19,approx,No reliable dates; floruit estimate
عبد العزيز الجاسر,Abd al-Aziz al-Jaser,1,3,3,متأخر,,,,1980,20,approx,Contemporary Saudi; floruit estimate
عبد الله بن علي الخليلي,Abdullah bin Ali al-Khalili,1,3,3,متأخر,,1968,1880,,20,approx,Oman
عبدالحسين الجواهري,ʿAbd al-Ḥusayn al-Jawāhirī,1,3,3,متأخر,,1915,1850,,20,approx,"Najaf, of the Jawahiri family"
علاء الدين الوداعي,Ala' al-Din al-Wada'i,1,3,3,متأخر,,1310,1252,,14,approx,Mamluk Damascus
عمر تقي الدين الرافعي,ʿUmar Taqi al-Dīn al-Rāfiʿī,1,3,3,متأخر,,,,1900,19,approx,Tripoli (Lebanon) family; floruit estimate
فاروق جويدة,Farouq Juwayda,1,3,3,متأخر,,,1946,1990,20,exact,"Egypt, living"
فتيان الشاغوري,Fityān al-Shāghūrī,1,3,10,أيوبي,,1220,1143,,13,exact,"Damascus, Ayyubid era"
محسن الجواهري,Muhsin al-Jawahiri,1,3,3,متأخر,,,,1900,19,approx,Najaf family; floruit estimate
محمد المقرن,Muhammad al-Muqrin,1,3,3,متأخر,,,,2000,20,approx,Contemporary Saudi; floruit estimate
محمد توفيق علي,Muḥammad Tawfīq ʿAlī,1,3,3,متأخر,,,,1950,20,approx,No reliable dates; floruit estimate
محمد تيمور,Muhammad Timour,1,3,3,متأخر,,1921,1892,,20,exact,"Egypt, pioneer of drama"
محمد كمال,Muhammad Kamal,1,3,3,متأخر,,,,1950,20,approx,No reliable dates; floruit estimate
مرة بن محكان السعدي,Murrah bin Mahkan al-Sa'di,1,3,3,متأخر,,,,650,7,approx,Early Islamic tribal; floruit estimate
مهدي الطالقاني,Mahdi al-Talaqani,1,3,3,متأخر,,,,1850,19,approx,Iraqi/Persian; floruit estimate
مهند مشعل عبد العزيز,Muhannad Mishʿal ʿAbd al-ʿAzīz,1,3,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
موسى شرارة,Musa Sharara,1,3,3,متأخر,,1904,1852,,20,approx,"Jabal Amil, Lebanon"
نوري سراج الوايلي,Nuri Siraj al-Wayli,1,3,3,متأخر,,,,2000,20,approx,Contemporary Iraqi; floruit estimate
هند جارية الشاطبي,Hind Jariyat al-Shatibi,1,3,3,متأخر,,,,1200,12,approx,Andalusian singing-girl poet; floruit estimate
أبو المحاسن الشواء,Abū al-Maḥāsin al-Shuwwāʾ,1,2,10,أيوبي,,1240,1179,,13,exact,"Aleppo, Ayyubid era"
ابراهيم بن سيار النظام,Ibrahim bin Sayyar al-Nazzam,1,2,3,متأخر,,845,775,,9,approx,Mu'tazilite theologian of Basra
ابن السكون الكاتب الحلي,Ibn al-Sakun al-Katib al-Hilli,1,2,3,متأخر,,1210,,,13,approx,"Hilla, philologist"
ابن الظهير الاربلي,Ibn al-Ẓahīr al-Arbalī,1,2,3,متأخر,,1276,1213,,13,exact,Irbil then Mosul
ابنة حذاق الحنفي,Ibnat Hudhaq al-Hanafi,1,2,3,متأخر,,,,650,7,approx,Early Islamic poetess; floruit estimate
ابو عبدة الوزير,Abu 'Abdah al-Wazir,1,2,3,متأخر,,,,1000,10,approx,No reliable dates; floruit estimate
ابو محمد عبد الله العسال,Abu Muhammad Abdullah al-Assal,1,2,3,متأخر,,,,1000,10,approx,No reliable dates; floruit estimate
احمد تقي الدين,Ahmad Taqi al-Din,1,2,3,متأخر,,,,1950,20,approx,No reliable dates; floruit estimate
اسعد طراد,Asʿad Ṭarrād,1,2,3,متأخر,,,,1950,20,approx,Lebanese; floruit estimate
الاسود بن يعفر النهشلي,Al-Aswad ibn Ya'fur al-Nahshali,1,2,3,متأخر,,600,,,6,approx,Pre-Islamic of Tamim
الامام الشوكاني,al-Imām al-Shawkānī,1,2,3,متأخر,,1834,1760,,19,exact,"Yemen, mujtahid"
البديع الدمشقي,Al-Badi' al-Dimashqi,1,2,3,متأخر,,,,1600,16,approx,Ottoman Damascus; floruit estimate
الحداد القيسي,Al-Haddad al-Qaisi,1,2,3,متأخر,,,,1200,12,approx,No reliable dates; floruit estimate
الفروخي ابو نصر الاواني,Al-Farrukhi Abu Nasr al-Awani,1,2,3,متأخر,,,,1100,11,approx,No reliable dates; floruit estimate
جاسم الصحيح,Jasim al-Sahih,1,2,3,متأخر,,,1964,2000,20,exact,"Saudi (al-Ahsa), living"
خليل ناصيف اليازجي,Khalīl Nāṣīf al-Yāzijī,1,2,3,متأخر,,1889,1856,,19,exact,"Lebanon, son of Nasif al-Yaziji"
رشيد ايوب,Rashid Ayyub,1,2,3,متأخر,,1941,1871,,20,exact,"Mahjar, New York"
زفر بن الحارث الكلابي,Zufr bin al-Harith al-Kilabi,1,2,3,متأخر,,692,,,7,approx,Umayyad-era Qaysi chief
زكي الصبيحاوي,Zaki al-Subayhiwi,1,2,3,متأخر,,,,1950,20,approx,Iraqi; floruit estimate
زكي مبارك,Zakī Mubārak,1,2,3,متأخر,,1952,1892,,20,exact,Egypt
شيرين شيحه,Shīrīn Shīḥa,1,2,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
ضمد كاظم الوسمي,Damad Kazim al-Wasmi,1,2,3,متأخر,,,,2000,20,approx,Contemporary Iraqi; floruit estimate
عامر بن مالك الفزاري,Amir ibn Malik al-Fazari,1,2,3,متأخر,,,,600,6,approx,Pre-Islamic tribal; floruit estimate
عايشة الباعونية,Aisha al-Ba'uniyya,1,2,3,متأخر,,1517,1456,,16,exact,"Damascus/Cairo, Sufi woman scholar-poet"
عبد الحكيم بن عامر الحجري,Abd al-Hakim bin 'Amir al-Hajari,1,2,3,متأخر,,,,1900,19,approx,Yemeni; floruit estimate
عبد العزيز بن زرارة الكلابي,Abd al-Aziz bin Zurara al-Kilabi,1,2,3,متأخر,,,,660,7,approx,Umayyad-era tribal; floruit estimate
عبد اللطيف الصيرفى,ʿAbd al-Laṭīf al-Ṣayrafī,1,2,3,متأخر,,,,1700,17,approx,Ottoman-era; floruit estimate
عبدالله النديم,Abdullah al-Nadim,1,2,3,متأخر,,1896,1843,,19,exact,"Egypt, orator of the Urabi revolt"
عدي بن حاتم الطايي,'Uday bin Hatim al-Ta'i,1,2,3,متأخر,,687,587,,7,approx,"Son of Hatim al-Ta'i, Companion"
عمارة بن صالح عبد المالك,Imara bin Salih Abd al-Malik,1,2,3,متأخر,,,,800,8,approx,Abbasid-era; floruit estimate
عمر اليافي,Umar al-Yafi,1,2,3,متأخر,,1818,1747,,19,approx,Damascus Sufi
فروة بن نوفل الاشجعي,Farwa ibn Nawfal al-Ashja'i,1,2,3,متأخر,,661,,,7,approx,"Kharijite leader, killed under Ali"
كفا خضر,Kafa Khidr,1,2,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
كنعان الموسوي,Kinan al-Mawsili,1,2,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
لسان الدين الخطيب,Lisan al-Din al-Khatib,1,2,3,متأخر,,1374,1313,,14,exact,Duplicate spelling of Lisan al-Din ibn al-Khatib
محمد احمد المجالي,Muhammad Ahmad al-Majali,1,2,3,متأخر,,,,2000,20,approx,Contemporary Jordanian; floruit estimate
محمد الفايز القيرواني,Muhammad al-Fa'iz al-Qayrawani,1,2,3,متأخر,,,,1100,11,approx,Kairouan; floruit estimate
محمد الماغوط,Muhammad al-Maghut,1,2,3,متأخر,,2006,1934,,21,exact,"Syria, prose poem pioneer"
محمد خضير,Muhammad Khudir,1,2,3,متأخر,,,,2000,20,approx,Contemporary Iraqi; floruit estimate
محمود مفلح,Mahmud Muflih,1,2,3,متأخر,,,1943,1990,20,exact,"Palestinian, living"
مرسي شاكر طنطاوي,Mursi Shaker Tantawi,1,2,3,متأخر,,,,1950,20,approx,Egyptian; floruit estimate
مريم يمق ( زاهية بنت البحر ),Maryam Yamq (Zāhiya bint al-Baḥr),1,2,3,متأخر,,1965,1900,,20,approx,"Lebanon, pen name Zahiya bint al-Bahr"
منصور بن اسماعيل الفقيه,Mansur ibn Ismail al-Faqih,1,2,3,متأخر,,918,,,10,exact,"Egyptian Shafi'i faqih-poet, d. 306 AH"
موسى الطالقاني,Musa al-Talaqani,1,2,3,متأخر,,,,1850,19,approx,Iraqi/Persian; floruit estimate
ميخاييل خير الله ويردي,Mikhayil Khayr Allah Wirdi,1,2,3,متأخر,,,,1950,20,approx,Lebanese; floruit estimate
نافع محمد النافع,Nafi Muhammad al-Nafi,1,2,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
ناهدة الحلبي,Nahida al-Halabi,1,2,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
إبراهيم عبد القادر المازني,Ibrahim Abd al-Qadir al-Mazini,1,1,3,متأخر,,1949,1889,,20,exact,"Egypt, Diwan group"
ابراهيم طلحة,Ibrāhīm Ṭalḥa,1,1,3,متأخر,,,,1900,19,approx,No reliable dates; floruit estimate
ابن الدهان,Ibn al-Dahhān,1,1,10,أيوبي,,1258,1194,,13,approx,Baghdad/Mosul
ابن سيد الناس,Ibn Sayyid al-Nas,1,1,3,متأخر,,1334,1273,,14,exact,Cairo hadith scholar
ابو الحسن ابن النرسي,Abu al-Hasan Ibn al-Narsi,1,1,3,متأخر,,,,1100,11,approx,Baghdad; floruit estimate
ابو القاسم الزاهي,Abū al-Qāsim al-Zāhī,1,1,3,متأخر,,962,928,,10,approx,Baghdad
ابو اليسر المعري,Abū al-Yusr al-Maʿrī,1,1,3,متأخر,,,,1050,11,approx,Ma'arra family; floruit estimate
ابو عبد الله البغوي,Abu Abd Allah al-Baghawi,1,1,3,متأخر,,929,,,10,approx,Baghdad hadith scholar
ابو علي المنطقي,Abu Ali al-Mantiqi,1,1,3,متأخر,,,,1000,10,approx,No reliable dates; floruit estimate
احمد الصابوني,Ahmad al-Sabuni,1,1,3,متأخر,,,,1900,19,approx,Syrian; floruit estimate
احمد محرم,Ahmad Muharram,1,1,3,متأخر,,1945,1877,,20,exact,"Egypt, author of the Iliad of Islam"
اسلام عكرية,Islam Akriya,1,1,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
اسماعيل سري الدهشان,Ismāʿīl Sirrī al-Dahshān,1,1,3,متأخر,,,,1900,19,approx,Egyptian; floruit estimate
ام خالد النميرية,Umm Khalid al-Numayriyah,1,1,3,متأخر,,,,650,7,approx,Early Islamic poetess; floruit estimate
تميم البرغوثي,Tamim Barghouti,1,1,3,متأخر,,,1977,2010,21,exact,"Palestinian-Egyptian, living"
ثورات التغيير العربية,Thawrat al-Taghyir al-'Arabiyyah,1,1,3,متأخر,,,,,,,"NOT A POET - theme label (""Arab uprisings"") misfiled as a poet row"
راشد حسين,Rashid Hussein,1,1,3,متأخر,,1977,1936,,20,exact,Palestine
رياض منصور,Riyad Mansour,1,1,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
زين العابدين الضبيبي,Zayn al-'Abidin al-Dhubaybi,1,1,3,متأخر,,,,1900,19,approx,Yemeni; floruit estimate
ستيرة العصيبية,Sutayrah al-Usaybiyah,1,1,3,متأخر,,,,650,7,approx,Early Islamic poetess; floruit estimate
سعيد عقل,Sa'id Aql,1,1,3,متأخر,,2014,1911,,21,exact,Lebanon
سميح القاسم,Samih al-Qasim,1,1,3,متأخر,,2014,1939,,21,exact,Palestine
عبد القادر بدران,Abd al-Qadir Badran,1,1,3,متأخر,,1927,1846,,20,exact,Damascus scholar
عبد الناصر عليوي العبيدي,Abd al-Nasir 'Aliwi al-'Ubaydi,1,1,3,متأخر,,,,2010,21,approx,Contemporary Iraqi; floruit estimate
عبدالحسين الحلي,Abd al-Husayn al-Hilli,1,1,3,متأخر,,1955,1875,,20,approx,Najaf
عبدالله الخضري,Abdullah al-Khudari,1,1,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
عبدة بن الطبيب,Abda ibn al-Tabib,1,1,3,متأخر,,630,,,7,approx,Mukhadram of Tamim
عبده فايز الزبيدي,Abduh Fayiz al-Zubaidi,1,1,3,متأخر,,,,2010,21,approx,Contemporary Saudi; floruit estimate
علاء خلف,Ala' Khalaf,1,1,3,متأخر,,,,2010,21,approx,Contemporary; floruit estimate
عماد الدين الاصبهاني,Imad al-Din al-Isfahani,1,1,3,متأخر,,1201,1125,,13,exact,Duplicate spelling of al-Imad al-Isbahani
قتيلة بنت النضر,Qutila bint al-Nadr,1,1,3,متأخر,,624,,,7,approx,Elegy for her father after Badr
كريم النعمان,Karim al-Nu'man,1,1,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
محمد حسين ال ياسين,Muhammad Husayn Al Yasin,1,1,3,متأخر,,,,1950,20,approx,Iraqi; floruit estimate
محمد حمدي غانم,Muhammad Hamdi Ghanem,1,1,3,متأخر,,,,2000,20,approx,Contemporary Egyptian; floruit estimate
مرسي شاكر الطنطاوي,Mursī Shākir al-Ṭanṭāwī,1,1,3,متأخر,,,,1950,20,approx,Duplicate spelling of Mursi Shakir Tantawi
مير علي ابو طبيخ,Mir Ali Abu Tabikh,1,1,3,متأخر,,,,1900,19,approx,Iraqi (Najaf) family; floruit estimate
ناجية بن محمد الكاتب,Najiya bint Muhammad al-Katib,1,1,3,متأخر,,,,1000,10,approx,No reliable dates; floruit estimate
ناصيف اليازجي,Nāṣīf al-Yāzijī,1,1,3,متأخر,,1871,1800,,19,exact,"Lebanon, Nahda philologist"
آمنة بنت عتيبة,Aminah bint 'Utaybah,1,,5,جاهلي,6,,,650,7,approx,Early Islamic poetess; floruit estimate
أبو الحسن بن حريق,Abū al-Ḥasan ibn Ḥarīq,1,,10,أيوبي,,1223,1150,,13,approx,Valencia
أبو الحسين الجزار,Abū al-Ḥusayn al-Jazzār,1,,8,مملوكي,14,1281,1204,,13,exact,"Cairo, the butcher-poet"
أبو الحسين النوري,Abu al-Husayn al-Nuri,1,,2,عباسي,9,907,,,10,exact,"Duplicate of Abu al-Hasan al-Nuri, Baghdad Sufi"
أبو الشيص الخزاعي,Abu al-Shays al-Khaza'i,1,,2,عباسي,9,811,,,9,approx,"Abbasid, cousin of Di'bil"
أبو الطمحان القيني,Abu al-Tammāḥ al-Qaynī,1,,6,مخضرم,13,650,,,7,approx,Mukhadram
أبو العيناء,Abu al-Ayna,1,,2,عباسي,9,896,808,,9,exact,"Blind Abbasid wit, d. 283 AH"
أبو الوليد الحميري,Abū al-Walīd al-Ḥimyarī,1,,7,أندلسي,11,,,1000,10,approx,Andalusian; floruit estimate
أبو بكر الخالدي,Abu Bakr al-Khalidi,1,,2,عباسي,9,990,,,10,approx,Duplicate of Abu Bakr al-Khalidi (al-Khalidiyan)
أبو بكر بن القوطية,Abū Bakr ibn al-Quṭiyya,1,,7,أندلسي,11,977,,,10,exact,"Cordoba historian-philologist, d. 367 AH"
أبو زبيد الطائي,Abū Zubayd al-Ṭāʾī,1,,4,أموي,8,681,,,7,approx,Mukhadram Christian of Tayy
أبو محجن الثقفي,Abū Maḥjan al-Thaqafī,1,,6,مخضرم,13,637,,,7,approx,"Companion, the wine poet"
أبو هفان المهزمي,Abu Hafan al-Muhazzami,1,,2,عباسي,9,871,,,9,approx,Abbasid Basran
أبو وجزة السعدي,Abū Wajzah al-Saʿdī,1,,4,أموي,8,747,,,8,approx,Umayyad Medinan
أحمد بن أبي فنن,Ahmad ibn Abi Finnan,1,,2,عباسي,9,874,,,9,approx,"Abbasid, Baghdad"
أمية بن أبي الصلت,Umaiyyah ibn Abī al-Ṣalt,1,,6,مخضرم,13,626,,,7,approx,Pre-Islamic hanif of Ta'if
أوس بن حجر,Aws ibn Hajar,1,,5,جاهلي,6,600,,,6,approx,"Pre-Islamic of Tamim; d. c.620 pre-hijra, pulled to 600 to stay with the Jahili era"
إبراهيم الصولي,Ibrahim al-Suli,1,,2,عباسي,9,,,900,9,approx,Of the Suli family of Baghdad; floruit estimate
ابراهيم الحصري,Ibrāhīm al-Ḥuṣrī,1,,8,مملوكي,14,1061,,,11,approx,"Kairouan, author of Zahr al-Adab"
ابن أبي البشر,Ibn Abī al-Bashar,1,,7,أندلسي,11,,,1100,11,approx,No reliable dates; floruit estimate
ابن اسد الفارقي,Ibn Asad al-Fāriqī,1,,7,أندلسي,11,,,1150,12,approx,Mayyafariqin; floruit estimate
ابن الابار الاشبيلي,Ibn al-Abbar al-Ishbili,1,,8,مملوكي,14,1260,1199,,13,exact,"Ibn al-Abbar, Valencia, executed at Tunis"
ابن الابار القضاعي البنلسي,Ibn al-Abbar al-Quda'i al-Balansi,1,,8,مملوكي,14,1260,1199,,13,exact,Duplicate spelling of Ibn al-Abbar
ابن التلميذ,Ibn al-Tilmidh,1,,7,أندلسي,11,1165,1073,,12,exact,Baghdad Christian physician-poet
ابن الحاج البلفيقي,Ibn al-Hajj al-Balfiqi,1,,8,مملوكي,14,1372,1290,,14,approx,Almeria/Granada
ابن الحناط,Ibn al-Ḥannāṭ,1,,7,أندلسي,11,1046,,,11,approx,"Cordoba, blind poet"
ابن الرعلاء,Ibn al-Ru'ala',1,,5,جاهلي,6,,,600,6,approx,Pre-Islamic; floruit estimate
ابن الزقاق,Ibn al-Zuqāq,1,,8,مملوكي,14,1134,1096,,12,approx,Duplicate of Ibn al-Zuqaq al-Balansi
ابن الصباغ الجذامي,Ibn al-Sabbagh al-Judhami,1,,8,مملوكي,14,,,1200,12,approx,Andalusian; floruit estimate
ابن بابك,Ibn Babak,1,,2,عباسي,9,1019,,,11,approx,"Baghdad, d. c. 410 AH"
ابن باجه,Ibn Bajjah,1,,8,مملوكي,14,1138,1085,,12,exact,Duplicate spelling of Ibn Bajja (Avempace)
ابن حجاج,Ibn Hajjaj,1,,2,عباسي,9,1001,941,,11,exact,"Ibn al-Hajjaj, Baghdad, obscene-comic poet"
ابن حديدة,Ibn Ḥadīda,1,,7,أندلسي,11,,,1100,11,approx,Duplicate/short form of Ibn Hadida al-Lakhmi
ابن خلكان,Ibn Khallikān,1,,8,مملوكي,14,1282,1211,,13,exact,Author of Wafayat al-A'yan
ابن سعد الخير البلنسي,Ibn Sa'd al-Khayr al-Balansi,1,,8,مملوكي,14,,,1150,12,approx,Valencia; floruit estimate
ابن قسيم الحموي,Ibn Qusim al-Hamawi,1,,8,مملوكي,14,,,1300,13,approx,Hama; floruit estimate
ابن مكنسة الاسكندراني,Ibn Maknasa al-Iskandarānī,1,,7,أندلسي,11,1105,,,12,approx,"Alexandria, Fatimid era"
ابن هذيل,Ibn Hudhayl,1,,8,مملوكي,14,,,1200,12,approx,Duplicate/short form of Ibn Hudhayl al-Qurtubi
ابن همام,Ibn Hammam,1,,2,عباسي,9,,,1000,10,approx,No reliable dates; floruit estimate
ابن وهيب الحميري,Ibn Wahb al-Himyari,1,,2,عباسي,9,839,,,9,approx,Duplicate of Muhammad ibn Wuhayb al-Himyari
ابنة عقيل بن ابي طالب,Ibnat ʿAqīl ibn Abī Ṭālib,1,,2,عباسي,9,,,660,7,approx,Early Islamic poetess; floruit estimate
ابو الحسن الجوهري,Abū al-Ḥasan al-Jawharī,1,,7,أندلسي,11,,,1000,10,approx,No reliable dates; floruit estimate
ابو الحسن النعيمي,Abū al-Ḥasan al-Nuʿaymī,1,,7,أندلسي,11,1000,,,10,approx,Baghdad philologist; floruit estimate
ابو الشغب العبسي,Abū al-Shaghab al-ʿAbsī,1,,7,أندلسي,11,,,700,7,approx,Umayyad tribal; floruit estimate
ابو الشيص محمد,Abū al-Shīṣ Muḥammad,1,,7,أندلسي,11,811,,,9,approx,Duplicate of Abu al-Shis al-Khuza'i
ابو الفضل الميكالي,Abū al-Faḍl al-Mīkālī,1,,7,أندلسي,11,1044,,,11,exact,"Nishapur patron-poet, d. 436 AH"
ابو عدي المعري,Abu Adi al-Ma'arri,1,,3,متأخر,,,,1050,11,approx,Ma'arra family; floruit estimate
ابو علي الخواري البيهقي,Abu Ali al-Khawari al-Bayhaqi,1,,7,أندلسي,11,,,1100,11,approx,Bayhaq; floruit estimate
ابوالثناء شهاب الدين محمود الالوسي,Abu al-Thana' Shihab al-Din Mahmud al-Alusi,1,,3,متأخر,,1854,1802,,19,exact,"Baghdad, author of Ruh al-Ma'ani"
احمد زكي ابو شادي,Aḥmad Zakī Abū Shādī,1,,3,متأخر,,1955,1892,,20,exact,"Egypt, founder of the Apollo group"
احمد فتحي,Ahmad Fathi,1,,5,جاهلي,6,,,1950,20,approx,No reliable dates; floruit estimate
اسماء بنت ابي بكر,Asmāʾ bint Abī Bakr,1,,4,أموي,8,692,595,,7,approx,"Companion, daughter of Abu Bakr"
الأخطل,al-Aghtal,1,,4,أموي,8,710,640,,8,approx,Umayyad Christian naqa'id poet
الأرجاني,Al-Arjānī,1,,7,أندلسي,11,1149,1068,,12,exact,"Nasih al-Din, qadi of Tustar"
الأسود التغلبي,al-Aswad al-Taghlibi,1,,5,جاهلي,6,,,600,6,approx,Pre-Islamic; floruit estimate
الأعشى,al-Aʿshā,1,,6,مخضرم,13,629,570,,7,approx,"Pre-Islamic, Maymun ibn Qays"
الأقرع بن معاذ,Al-Aqra' ibn Mu'adh,1,,1,إسلامي,7,,,620,7,approx,Pre-Islamic; floruit estimate
الاصبغ القرشي,Al-Asbagh al-Qurashi,1,,7,أندلسي,11,,,700,7,approx,Umayyad-era; floruit estimate
الجيداء بنت زاهر الزبيدية,al-Jayda' bint Zahir al-Zubaydiyyah,1,,5,جاهلي,6,,,600,6,approx,Pre-Islamic poetess; floruit estimate
الحارث الجرمي,al-Harith al-Jarmi,1,,5,جاهلي,6,,,650,7,approx,Mukhadram; floruit estimate
الحسين بن اسد العامري,al-Ḥusayn ibn Asad al-ʿĀmirī,1,,7,أندلسي,11,,,1000,10,approx,No reliable dates; floruit estimate
الحسين بن الضحاك,al-Husayn ibn al-Dahhak,1,,2,عباسي,9,864,778,,9,exact,"Abbasid, the wine poet of al-Amin's court"
الحسين بن علي,al-Ḥusayn ibn ʿAlī,1,,4,أموي,8,680,626,,7,exact,Duplicate of al-Husayn ibn Ali ibn Abi Talib
الحصين بن حمام الفزاري,al-Husayn ibn Hammam al-Fazari,1,,5,جاهلي,6,,,600,6,approx,Pre-Islamic of Murra; floruit estimate
الخريمي,al-Khuraymi,1,,2,عباسي,9,821,,,9,approx,"Abbasid, Baghdad"
الخنساء بنت التيجان,al-Khansa bint al-Tijan,1,,5,جاهلي,6,,,600,6,approx,Distinct from al-Khansa; no reliable dates
الخيبري الخارجي,al-Khaybarī al-Khārijī,1,,2,عباسي,9,,,700,7,approx,Kharijite; floruit estimate
الراضي ابن المعتمد بن عباد,Al-Radi ibn al-Mu'tamid ibn Abbad,1,,2,عباسي,9,1091,,,11,approx,"Son of al-Mu'tamid, killed at Ronda"
الراضي بالله,al-Radi bi-Allah,1,,2,عباسي,9,940,909,,10,exact,Abbasid caliph
السراج الوراق,Al-Sirāj al-Warrāq,1,,8,مملوكي,14,1296,1218,,13,exact,"Cairo, Mamluk era"
السموأل,al-Samaw'al,1,,5,جاهلي,6,560,,,6,approx,Pre-Islamic Jewish poet of Tayma
الشريف العقيلي,Al-Sharīf al-ʿUqaylī,1,,8,مملوكي,14,,,1100,11,approx,No reliable dates; floruit estimate
الشريف الغرناطي,Al-Sharif al-Gharnati,1,,8,مملوكي,14,1359,1312,,14,approx,Granada
الشيخ الرييس ابو نصر القايني,al-Shaykh al-Rāʾīs Abū Naṣr al-Qāʾīnī,1,,6,مخضرم,13,,,1050,11,approx,Quhistan; floruit estimate
الصمة القشيري,al-Ṣimmah al-Qushayrī,1,,4,أموي,8,707,,,8,approx,Umayyad udhri
الطرماح,al-Ṭirmāḥ,1,,4,أموي,8,743,,,8,approx,"Umayyad, Kufa"
الطفيل الغنوي,al-Tufayl al-Ghannawi,1,,5,جاهلي,6,600,,,6,approx,"Pre-Islamic, the horse poet; d. c.610, pulled to 600 to stay with the Jahili era"
العجاج,al-ʿAjjāj,1,,6,مخضرم,13,715,,,8,approx,Umayyad rajaz master
العيوق بنت مسعود,Al-'Ayyuq bint Mas'ud,1,,1,إسلامي,7,,,650,7,approx,Early Islamic poetess; floruit estimate
القتال الكلابي,al-Qattāl al-Kilābī,1,,4,أموي,8,705,,,8,approx,Umayyad
الكميت بن زيد,al-Kumayt ibn Zayd,1,,4,أموي,8,744,679,,8,exact,Duplicate of al-Kumayt ibn Zayd al-Asadi
